Timestamp,MAC Address,Device Name,Vendor,Predicted OS,OS Confidence,Predicted Device Type,Uptime,Security,Distance,RTT (ms),RSSI (dBm),TX Power (dBm),Link Quality,LMP Version,LMP Subversion,Hardware Manufacturer,Baseband Features,Link Policy,Supervision Timeout,Clock Offset,AFH Map,AFH Mode,MTU Reliability,Permissions,Protocols,Services,DBus Battery,Class of Device,Modalias,SDP Handles,GATT UUIDs,Deep GATT Strings,Discrepancy Notes,LMP Features Raw,LMP Features (Notable),Chipset Vendor,Chipset Product ID,Chipset Model,Chipset Release Year,Estimated Min OS Hint,Inconsistency Flags,GATT Appearance Raw,GATT Appearance Category,Preferred Conn Interval Min (ms),Preferred Conn Interval Max (ms),Preferred Slave Latency,Preferred Supervision Timeout (ms),SDP Service Names (Raw),SDP Service Descriptions (Raw),SDP Extracted Hints,Confidence Score,Has Conflicting Signals,Evidence Chain Summary
2026-06-24 14:43:18,dev-0514484612,name-a7e34ee861,"Realme Chongqing Mobile Telecommunications Corp.,Ltd.",Android Android 15 (Vanilla Ice Cream),High,Smartphone,4.00 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 3 meters,Min: 4.0ms | Avg: 4.56ms | Max: 4.94ms,-57,8,212,12,Hidden by Baseband (Modalias: bluetooth:v00E0p0000d0000),"MediaTek, Inc. (70)","0xbf 0x3e 0x8d 0xfe 0xdb 0xff 0x5b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets",Unknown,32000 slots (20000.00 msec),0x4ad3,0xfeffffcc00fcffffff3f,Unknown,Pass (Handles Large Fragmentation),Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: GRANTED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | L2CAP"" (0x0100) | RFCOMM"" (0x0003)",Advanced Audio Source | AV Remote Control Target | AV Remote Control | Headset Gateway | Handsfree Gateway | SMS/MMS | Android Network Access Point | Android Network User | OBEX Phonebook Access Server | InSecureAFP | SecureAFP | InSecureAFP | SIM Access | OBEX Object Push,N/A,0x5a020c,bluetooth:v00E0p0000d0000,0x10000 | 0x10001 | 0x10003 | 0x10004 | 0x10005 | 0x10006 | 0x10007 | 0x10008 | 0x10009 | 0x1000a | 0x1000b | 0x1000c | 0x1000d | 0x1000e | 0x1000f | 0x10010 | 0x10011 | 0x10012,,,,,,,,,,,,,,,,,,,,,,,
2026-08-31 12:14:13,dev-6c1144d91f,Unknown,Liteon Technology Corporation,Unknown Unknown,Low,Unknown Peripheral,Unknown,Legacy / Just-Works (Unsecured),N/A,Min: 2.64ms | Avg: 3.61ms | Max: 4.49ms,N/A,N/A,N/A,0,Hidden by Controller Security,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown (Blocked),Unknown,Unknown,Audio & Microphone Access: DENIED | Contacts & Call History Access: DENIED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: DENIED | WARNING: SDP Connection Blocked - Permissions Inferred,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,0.3,False,
2026-08-31 12:15:53,dev-6c1144d91f,Unknown,Liteon Technology Corporation,Unknown Unknown,Low,Unknown Peripheral,Unknown,Legacy / Just-Works (Unsecured),N/A,Min: 2.02ms | Avg: 3.33ms | Max: 4.37ms,N/A,N/A,N/A,0,Hidden by Controller Security,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown (Blocked),Unknown,Unknown,Audio & Microphone Access: DENIED | Contacts & Call History Access: DENIED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: DENIED | WARNING: SDP Connection Blocked - Permissions Inferred,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,0.3,False,
2026-08-31 12:19:35,dev-200ef878ba,Unknown,Liteon Technology Corporation,Unknown Unknown,Low,Unknown Peripheral,Unknown,Legacy / Just-Works (Unsecured),N/A,Min: 2.13ms | Avg: 3.45ms | Max: 4.33ms,N/A,N/A,N/A,0,Hidden by Controller Security,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown (Blocked),Unknown,Unknown,Audio & Microphone Access: DENIED | Contacts & Call History Access: DENIED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: DENIED | WARNING: SDP Connection Blocked - Permissions Inferred,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,0.3,False,
2026-08-31 13:20:40,dev-6c1144d91f,Unknown,Liteon Technology Corporation,Unknown Unknown,Low,Unknown Peripheral,Unknown,Legacy / Just-Works (Unsecured),N/A,Min: 2.56ms | Avg: 3.53ms | Max: 4.24ms,N/A,N/A,N/A,0,Hidden by Controller Security,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown (Blocked),Unknown,Unknown,Audio & Microphone Access: DENIED | Contacts & Call History Access: DENIED | SMS/Text Messages Access: DENIED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: DENIED | WARNING: SDP Connection Blocked - Permissions Inferred,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,0.3,False,
