Timestamp,MAC Address,Device Name,Vendor,Predicted OS,OS Confidence,Predicted Device Type,Uptime,Security,Distance,RTT (ms),RSSI (dBm),TX Power (dBm),Link Quality,LMP Version,LMP Subversion,Hardware Manufacturer,Baseband Features,Link Policy,Supervision Timeout,Clock Offset,AFH Map,AFH Mode,MTU Reliability,Permissions,Protocols,Services,DBus Battery,Class of Device,Modalias,SDP Handles,GATT UUIDs,Deep GATT Strings,LMP Features Raw,LMP Features (Notable),Chipset Vendor,Chipset Product ID,Chipset Model,Chipset Release Year,Estimated Min OS Hint,Inconsistency Flags,GATT Appearance Raw,GATT Appearance Category,Preferred Conn Interval Min (ms),Preferred Conn Interval Max (ms),Preferred Slave Latency,Preferred Supervision Timeout (ms),SDP Service Names (Raw),SDP Service Descriptions (Raw),SDP Extracted Hints,Confidence Score,Has Conflicting Signals,Evidence Chain Summary,Discrepancy Notes
2026-09-13 13:16:41,dev-ce0c347e87,name-ae8e0ce019,"Apple, Inc.",iOS iOS 16+,High,Smartphone (iPhone),12.43 Hours,Legacy / Just-Works (Unsecured),Approx. 1 - 4 meters,Min: 3.46ms | Avg: 4.36ms | Max: 5.09ms,-62,12,255,12,Hidden by Baseband (Modalias: bluetooth:v004Cp7410d1A50),Broadcom Corporation (15),"0xbf 0xfe 0xcf 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,8000 slots (5000.00 msec),0x0e90,0xfefff9fe0ff43ff8ff3f,Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: GRANTED | SMS/Text Messages Access: GRANTED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: GRANTED,"AVCTP"" (0x0017) | RFCOMM"" (0x0003) | L2CAP"" (0x0100)",GATT | AAP Client | MAP MAS-iOS | PAN Network Access Profile | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Phonebook | Handsfree Gateway,N/A,0x7a020c,bluetooth:v004Cp7410d1A50,0x4f491801 | 0x4f495dc0 | 0x4f491132 | 0x4f491116 | 0x4f497860 | 0x4f497840 | 0x4f49110e | 0x4f49110c | 0x4f49110a | 0x4f49112f | 0x4f49111f | 0x4f491200,,,dev-3ee59f1beb:7b:87,"afh_capable_master, afh_capable_slave, afh_classification_master, afh_classification_slave, alaw_log_synchronous_data, broadcast_encryption, channel_quality_driven_data_rate, cvsd_synchronous_data, encapsulated_pdu, encryption, enhanced_data_rate_acl_2mbps, enhanced_data_rate_acl_3mbps, enhanced_data_rate_esco_2mbps, enhanced_data_rate_esco_3mbps, enhanced_inquiry_scan, enhanced_power_control, erroneous_data_reporting, ev4_packets, ev5_packets, extended_inquiry_response, extended_sco_link_ev3, five_slot_enhanced_data_rate_acl, five_slot_packets, hv2_packets, hv3_packets, inquiry_response_tx_power_level, interlaced_inquiry_scan, interlaced_page_scan, le_supported_controller, link_supervision_timeout_changed_event, non_flushable_packet_boundary_flag, paging_parameter_negotiation, pause_encryption, power_control, power_control_requests, role_switch, rssi_with_inquiry_results, sco_link, secure_simple_pairing, simultaneous_le_bredr, slot_offset, sniff_mode, sniff_subrating, three_slot_enhanced_data_rate_acl, three_slot_enhanced_data_rate_esco, three_slot_packets, timing_accuracy, transparent_synchronous_data, ulaw_log_synchronous_data","Apple, Inc.",7410,,,,,,,,,,,GATT | AAP Client | MAP MAS-iOS | PAN Network Access Profile | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Phonebook | Handsfree Gateway,Network Access Point | Remote Control Device | Remote Control Device | PnP Information,,0.9,False,cod_vs_device_name:supports,
2026-09-13 13:18:26,dev-03aaad32d6,name-79fb624aab,"Apple, Inc.",macOS macOS 13+,High,Computer (Mac),Unknown,Legacy / Just-Works (Unsecured),N/A,Min: 2.55ms | Avg: 3.38ms | Max: 3.99ms,N/A,N/A,N/A,12,Hidden by Baseband (Modalias: bluetooth:v004Cp7614d1A40),Broadcom Corporation (15),"0xbf 0xfe 0xcf 0xfe 0xdb 0xff 0x7b 0x87 | 3-Slot Packets, 5-Slot Packets, Encryption, Slot Offset, Timing Accuracy, Role Switch, Sniff Mode, RSSI, CQDDR, SCO Link, HV2 Packets, HV3 Packets, u-law Voice, A-law Voice",Unknown,Unknown,Unknown,Unknown (Blocked),Unknown,Unknown,Audio & Microphone Access: GRANTED | Contacts & Call History Access: DENIED | SMS/Text Messages Access: GRANTED | File Transfer & Media Access: DENIED | Keyboard/Mouse Input Control: DENIED | Internet Tethering/Network Access: DENIED,"RFCOMM"" (0x0003) | L2CAP"" (0x0100) | AVCTP"" (0x0017)",GATT | AAP Client | MAP MAS-iOS | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Handsfree Gateway,N/A,0x6a0110,bluetooth:v004Cp7614d1A40,0x4f491801 | 0x4f49e400 | 0x4f491132 | 0x4f49feb0 | 0x4f49fe90 | 0x4f49110e | 0x4f49110c | 0x4f49110a | 0x4f49111f | 0x4f491200,,,,,"Apple, Inc.",7614,,,,,,,,,,,GATT | AAP Client | MAP MAS-iOS | Wireless iAP v2 | Wireless iAP | AVRCP Device | AVRCP Device | Audio Source | Handsfree Gateway,Remote Control Device | Remote Control Device | PnP Information,,0.9,False,cod_vs_device_name:supports,
